Data,faixaEtaria,sexo,quantidadeObitos
2020-03-24,40 a 44 anos,Feminino,1
2020-03-24,65 a 69 anos,Feminino,1
2020-03-24,80 anos ou mais,Feminino,2
2020-03-25,40 a 44 anos,Feminino,1
2020-03-25,65 a 69 anos,Masculino,1
2020-03-25,65 a 69 anos,Feminino,1
2020-03-25,80 anos ou mais,Feminino,3
2020-03-26,40 a 44 anos,Feminino,1
2020-03-26,65 a 69 anos,Masculino,1
2020-03-26,65 a 69 anos,Feminino,1
2020-03-26,70 a 74 anos,Masculino,1
2020-03-26,80 anos ou mais,Masculino,1
2020-03-26,80 anos ou mais,Feminino,4
2020-03-27,40 a 44 anos,Feminino,1
2020-03-27,45 a 49 anos,Masculino,1
2020-03-27,65 a 69 anos,Masculino,1
2020-03-27,65 a 69 anos,Feminino,1
2020-03-27,70 a 74 anos,Masculino,1
2020-03-27,80 anos ou mais,Masculino,2
2020-03-27,80 anos ou mais,Feminino,5
2020-03-28,40 a 44 anos,Feminino,1
2020-03-28,45 a 49 anos,Masculino,1
2020-03-28,60 a 64 anos,Feminino,1
2020-03-28,65 a 69 anos,Masculino,1
2020-03-28,65 a 69 anos,Feminino,1
2020-03-28,70 a 74 anos,Masculino,2
2020-03-28,80 anos ou mais,Masculino,2
2020-03-28,80 anos ou mais,Feminino,5
2020-03-29,40 a 44 anos,Masculino,1
2020-03-29,40 a 44 anos,Feminino,1
2020-03-29,45 a 49 anos,Masculino,1
2020-03-29,60 a 64 anos,Masculino,1
2020-03-29,60 a 64 anos,Feminino,1
2020-03-29,65 a 69 anos,Masculino,1
2020-03-29,65 a 69 anos,Feminino,1
2020-03-29,70 a 74 anos,Masculino,3
2020-03-29,75 a 79 anos,Masculino,1
2020-03-29,80 anos ou mais,Masculino,2
2020-03-29,80 anos ou mais,Feminino,5
2020-03-30,35 a 39 anos,Masculino,1
2020-03-30,40 a 44 anos,Masculino,1
2020-03-30,40 a 44 anos,Feminino,1
2020-03-30,45 a 49 anos,Masculino,1
2020-03-30,60 a 64 anos,Masculino,1
2020-03-30,60 a 64 anos,Feminino,1
2020-03-30,65 a 69 anos,Masculino,1
2020-03-30,65 a 69 anos,Feminino,1
2020-03-30,70 a 74 anos,Masculino,3
2020-03-30,75 a 79 anos,Masculino,1
2020-03-30,75 a 79 anos,Feminino,1
2020-03-30,80 anos ou mais,Masculino,4
2020-03-30,80 anos ou mais,Feminino,5
2020-03-31,35 a 39 anos,Masculino,1
2020-03-31,40 a 44 anos,Masculino,1
2020-03-31,40 a 44 anos,Feminino,1
2020-03-31,45 a 49 anos,Masculino,1
2020-03-31,60 a 64 anos,Masculino,1
2020-03-31,60 a 64 anos,Feminino,3
2020-03-31,65 a 69 anos,Masculino,1
2020-03-31,65 a 69 anos,Feminino,1
2020-03-31,70 a 74 anos,Masculino,3
2020-03-31,75 a 79 anos,Masculino,1
2020-03-31,75 a 79 anos,Feminino,2
2020-03-31,80 anos ou mais,Masculino,4
2020-03-31,80 anos ou mais,Feminino,5
