Data,quantidade,faixaEtaria,sexo
2020-01-01,1,5 a 9 anos,Feminino
2020-01-01,1,10 a 14 anos,Masculino
2020-01-01,1,15 a 19 anos,Masculino
2020-01-01,2,20 a 24 anos,Feminino
2020-01-01,2,20 a 24 anos,Masculino
2020-01-01,1,25 a 29 anos,Masculino
2020-01-01,4,25 a 29 anos,Feminino
2020-01-01,9,30 a 34 anos,Feminino
2020-01-01,9,30 a 34 anos,Masculino
2020-01-01,5,35 a 39 anos,Masculino
2020-01-01,8,35 a 39 anos,Feminino
2020-01-01,3,40 a 44 anos,Feminino
2020-01-01,5,40 a 44 anos,Masculino
2020-01-01,7,45 a 49 anos,Masculino
2020-01-01,13,45 a 49 anos,Feminino
2020-01-01,8,50 a 54 anos,Feminino
2020-01-01,4,50 a 54 anos,Masculino
2020-01-01,4,55 a 59 anos,Masculino
2020-01-01,5,55 a 59 anos,Feminino
2020-01-01,1,60 a 64 anos,Masculino
2020-01-01,7,60 a 64 anos,Feminino
2020-01-01,3,65 a 69 anos,Masculino
2020-01-01,2,65 a 69 anos,Feminino
2020-01-01,1,70 a 74 anos,Feminino
2020-01-01,3,70 a 74 anos,Masculino
2020-01-01,1,75 a 79 anos,Masculino
2020-01-01,2,80 ou mais,Feminino
2020-01-01,10,Indefinido,Masculino
2020-01-01,2,80 ou mais,Masculino
2020-01-01,11,Indefinido,Feminino
2020-01-02,1,5 a 9 anos,Feminino
2020-01-02,1,10 a 14 anos,Masculino
2020-01-02,1,15 a 19 anos,Masculino
2020-01-02,2,20 a 24 anos,Feminino
2020-01-02,2,20 a 24 anos,Masculino
2020-01-02,1,25 a 29 anos,Masculino
2020-01-02,4,25 a 29 anos,Feminino
2020-01-02,9,30 a 34 anos,Feminino
2020-01-02,9,30 a 34 anos,Masculino
2020-01-02,5,35 a 39 anos,Masculino
2020-01-02,8,35 a 39 anos,Feminino
2020-01-02,3,40 a 44 anos,Feminino
2020-01-02,5,40 a 44 anos,Masculino
2020-01-02,7,45 a 49 anos,Masculino
2020-01-02,13,45 a 49 anos,Feminino
2020-01-02,8,50 a 54 anos,Feminino
2020-01-02,4,50 a 54 anos,Masculino
2020-01-02,4,55 a 59 anos,Masculino
2020-01-02,5,55 a 59 anos,Feminino
2020-01-02,1,60 a 64 anos,Masculino
2020-01-02,7,60 a 64 anos,Feminino
2020-01-02,3,65 a 69 anos,Masculino
2020-01-02,2,65 a 69 anos,Feminino
2020-01-02,1,70 a 74 anos,Feminino
2020-01-02,3,70 a 74 anos,Masculino
2020-01-02,1,75 a 79 anos,Masculino
2020-01-02,2,80 ou mais,Feminino
2020-01-02,10,Indefinido,Masculino
2020-01-02,2,80 ou mais,Masculino
2020-01-02,11,Indefinido,Feminino
2020-01-03,1,5 a 9 anos,Feminino
2020-01-03,1,10 a 14 anos,Masculino
2020-01-03,1,15 a 19 anos,Masculino
2020-01-03,2,20 a 24 anos,Feminino
2020-01-03,2,20 a 24 anos,Masculino
2020-01-03,1,25 a 29 anos,Masculino
2020-01-03,4,25 a 29 anos,Feminino
2020-01-03,9,30 a 34 anos,Feminino
2020-01-03,9,30 a 34 anos,Masculino
2020-01-03,5,35 a 39 anos,Masculino
2020-01-03,8,35 a 39 anos,Feminino
2020-01-03,3,40 a 44 anos,Feminino
2020-01-03,5,40 a 44 anos,Masculino
2020-01-03,7,45 a 49 anos,Masculino
2020-01-03,13,45 a 49 anos,Feminino
2020-01-03,8,50 a 54 anos,Feminino
2020-01-03,4,50 a 54 anos,Masculino
2020-01-03,4,55 a 59 anos,Masculino
2020-01-03,5,55 a 59 anos,Feminino
2020-01-03,1,60 a 64 anos,Masculino
2020-01-03,7,60 a 64 anos,Feminino
2020-01-03,3,65 a 69 anos,Masculino
2020-01-03,2,65 a 69 anos,Feminino
2020-01-03,1,70 a 74 anos,Feminino
2020-01-03,3,70 a 74 anos,Masculino
2020-01-03,1,75 a 79 anos,Masculino
2020-01-03,2,80 ou mais,Feminino
2020-01-03,10,Indefinido,Masculino
2020-01-03,2,80 ou mais,Masculino
2020-01-03,11,Indefinido,Feminino
2020-01-04,1,5 a 9 anos,Feminino
2020-01-04,1,10 a 14 anos,Masculino
2020-01-04,1,15 a 19 anos,Masculino
2020-01-04,2,20 a 24 anos,Feminino
2020-01-04,2,20 a 24 anos,Masculino
2020-01-04,1,25 a 29 anos,Masculino
2020-01-04,4,25 a 29 anos,Feminino
2020-01-04,9,30 a 34 anos,Feminino
2020-01-04,9,30 a 34 anos,Masculino
2020-01-04,5,35 a 39 anos,Masculino
2020-01-04,8,35 a 39 anos,Feminino
2020-01-04,3,40 a 44 anos,Feminino
2020-01-04,5,40 a 44 anos,Masculino
2020-01-04,7,45 a 49 anos,Masculino
2020-01-04,13,45 a 49 anos,Feminino
2020-01-04,8,50 a 54 anos,Feminino
2020-01-04,4,50 a 54 anos,Masculino
2020-01-04,4,55 a 59 anos,Masculino
2020-01-04,5,55 a 59 anos,Feminino
2020-01-04,1,60 a 64 anos,Masculino
2020-01-04,7,60 a 64 anos,Feminino
2020-01-04,3,65 a 69 anos,Masculino
2020-01-04,2,65 a 69 anos,Feminino
2020-01-04,1,70 a 74 anos,Feminino
2020-01-04,3,70 a 74 anos,Masculino
2020-01-04,1,75 a 79 anos,Masculino
2020-01-04,2,80 ou mais,Feminino
2020-01-04,10,Indefinido,Masculino
2020-01-04,2,80 ou mais,Masculino
2020-01-04,11,Indefinido,Feminino
2020-01-05,1,5 a 9 anos,Feminino
2020-01-05,1,10 a 14 anos,Masculino
2020-01-05,1,15 a 19 anos,Masculino
2020-01-05,2,20 a 24 anos,Feminino
2020-01-05,2,20 a 24 anos,Masculino
2020-01-05,1,25 a 29 anos,Masculino
2020-01-05,4,25 a 29 anos,Feminino
2020-01-05,9,30 a 34 anos,Feminino
2020-01-05,9,30 a 34 anos,Masculino
2020-01-05,5,35 a 39 anos,Masculino
2020-01-05,8,35 a 39 anos,Feminino
2020-01-05,3,40 a 44 anos,Feminino
2020-01-05,5,40 a 44 anos,Masculino
2020-01-05,7,45 a 49 anos,Masculino
2020-01-05,13,45 a 49 anos,Feminino
2020-01-05,8,50 a 54 anos,Feminino
2020-01-05,5,50 a 54 anos,Masculino
2020-01-05,4,55 a 59 anos,Masculino
2020-01-05,5,55 a 59 anos,Feminino
2020-01-05,1,60 a 64 anos,Masculino
2020-01-05,7,60 a 64 anos,Feminino
2020-01-05,3,65 a 69 anos,Masculino
2020-01-05,2,65 a 69 anos,Feminino
2020-01-05,1,70 a 74 anos,Feminino
2020-01-05,3,70 a 74 anos,Masculino
2020-01-05,1,75 a 79 anos,Masculino
2020-01-05,2,80 ou mais,Feminino
2020-01-05,10,Indefinido,Masculino
2020-01-05,2,80 ou mais,Masculino
2020-01-05,11,Indefinido,Feminino
2020-01-06,1,5 a 9 anos,Feminino
2020-01-06,1,10 a 14 anos,Masculino
2020-01-06,1,15 a 19 anos,Masculino
2020-01-06,2,20 a 24 anos,Feminino
2020-01-06,2,20 a 24 anos,Masculino
2020-01-06,1,25 a 29 anos,Masculino
2020-01-06,4,25 a 29 anos,Feminino
2020-01-06,9,30 a 34 anos,Feminino
2020-01-06,9,30 a 34 anos,Masculino
2020-01-06,5,35 a 39 anos,Masculino
2020-01-06,8,35 a 39 anos,Feminino
2020-01-06,3,40 a 44 anos,Feminino
2020-01-06,5,40 a 44 anos,Masculino
2020-01-06,7,45 a 49 anos,Masculino
2020-01-06,13,45 a 49 anos,Feminino
2020-01-06,8,50 a 54 anos,Feminino
2020-01-06,5,50 a 54 anos,Masculino
2020-01-06,4,55 a 59 anos,Masculino
2020-01-06,5,55 a 59 anos,Feminino
2020-01-06,1,60 a 64 anos,Masculino
2020-01-06,7,60 a 64 anos,Feminino
2020-01-06,3,65 a 69 anos,Masculino
2020-01-06,2,65 a 69 anos,Feminino
2020-01-06,1,70 a 74 anos,Feminino
2020-01-06,3,70 a 74 anos,Masculino
2020-01-06,1,75 a 79 anos,Masculino
2020-01-06,2,80 ou mais,Feminino
2020-01-06,10,Indefinido,Masculino
2020-01-06,2,80 ou mais,Masculino
2020-01-06,11,Indefinido,Feminino
2020-01-07,1,5 a 9 anos,Feminino
2020-01-07,1,10 a 14 anos,Masculino
2020-01-07,1,15 a 19 anos,Masculino
2020-01-07,2,20 a 24 anos,Feminino
2020-01-07,2,20 a 24 anos,Masculino
2020-01-07,1,25 a 29 anos,Masculino
2020-01-07,4,25 a 29 anos,Feminino
2020-01-07,9,30 a 34 anos,Feminino
2020-01-07,9,30 a 34 anos,Masculino
2020-01-07,5,35 a 39 anos,Masculino
2020-01-07,8,35 a 39 anos,Feminino
2020-01-07,3,40 a 44 anos,Feminino
2020-01-07,5,40 a 44 anos,Masculino
2020-01-07,7,45 a 49 anos,Masculino
2020-01-07,13,45 a 49 anos,Feminino
2020-01-07,8,50 a 54 anos,Feminino
2020-01-07,5,50 a 54 anos,Masculino
2020-01-07,4,55 a 59 anos,Masculino
2020-01-07,5,55 a 59 anos,Feminino
2020-01-07,1,60 a 64 anos,Masculino
2020-01-07,7,60 a 64 anos,Feminino
2020-01-07,3,65 a 69 anos,Masculino
2020-01-07,2,65 a 69 anos,Feminino
