Data,quantidade,faixaEtaria,sexo
2020-03-02,1,35 a 39 anos,Feminino
2020-03-02,1,60 a 64 anos,Feminino
2020-03-03,1,35 a 39 anos,Feminino
2020-03-03,1,60 a 64 anos,Feminino
2020-03-04,1,35 a 39 anos,Feminino
2020-03-04,1,60 a 64 anos,Feminino
2020-03-05,1,35 a 39 anos,Feminino
2020-03-05,1,60 a 64 anos,Feminino
2020-03-06,1,35 a 39 anos,Feminino
2020-03-06,1,60 a 64 anos,Feminino
2020-03-07,1,35 a 39 anos,Feminino
2020-03-07,1,60 a 64 anos,Feminino
2020-03-08,1,35 a 39 anos,Feminino
2020-03-08,1,60 a 64 anos,Feminino
2020-03-09,1,35 a 39 anos,Feminino
2020-03-09,1,60 a 64 anos,Feminino
2020-03-10,1,35 a 39 anos,Feminino
2020-03-10,1,60 a 64 anos,Feminino
2020-03-11,1,35 a 39 anos,Feminino
2020-03-11,1,60 a 64 anos,Feminino
2020-03-12,1,35 a 39 anos,Feminino
2020-03-12,1,60 a 64 anos,Feminino
2020-03-13,1,35 a 39 anos,Feminino
2020-03-13,1,60 a 64 anos,Feminino
2020-03-14,1,35 a 39 anos,Feminino
2020-03-14,1,55 a 59 anos,Masculino
2020-03-14,1,60 a 64 anos,Feminino
2020-03-15,1,35 a 39 anos,Feminino
2020-03-15,1,55 a 59 anos,Masculino
2020-03-15,1,60 a 64 anos,Feminino
2020-03-16,1,35 a 39 anos,Feminino
2020-03-16,1,45 a 49 anos,Feminino
2020-03-16,1,50 a 54 anos,Masculino
2020-03-16,1,55 a 59 anos,Masculino
2020-03-16,1,60 a 64 anos,Feminino
2020-03-16,1,65 a 69 anos,Feminino
2020-03-16,1,65 a 69 anos,Masculino
2020-03-17,2,20 a 24 anos,Feminino
2020-03-17,1,20 a 24 anos,Masculino
2020-03-17,3,30 a 34 anos,Masculino
2020-03-17,1,35 a 39 anos,Feminino
2020-03-17,1,35 a 39 anos,Masculino
2020-03-17,2,40 a 44 anos,Masculino
2020-03-17,2,45 a 49 anos,Feminino
