Data,quantidade,faixaEtaria,sexo
2020-02-15,1,25 a 29 anos,Feminino
2020-02-15,3,30 a 34 anos,Masculino
2020-02-15,1,35 a 39 anos,Masculino
2020-02-15,1,45 a 49 anos,Feminino
2020-02-15,2,50 a 54 anos,Masculino
2020-02-15,1,55 a 59 anos,Feminino
2020-02-15,1,75 a 79 anos,Masculino
2020-02-16,1,25 a 29 anos,Feminino
2020-02-16,3,30 a 34 anos,Masculino
2020-02-16,1,35 a 39 anos,Masculino
2020-02-16,1,40 a 44 anos,Feminino
2020-02-16,1,45 a 49 anos,Feminino
2020-02-16,2,50 a 54 anos,Masculino
2020-02-16,1,55 a 59 anos,Feminino
2020-02-16,1,70 a 74 anos,Masculino
2020-02-16,1,75 a 79 anos,Masculino
2020-02-17,2,25 a 29 anos,Feminino
2020-02-17,3,30 a 34 anos,Masculino
2020-02-17,1,35 a 39 anos,Masculino
2020-02-17,2,40 a 44 anos,Feminino
2020-02-17,1,45 a 49 anos,Feminino
2020-02-17,2,50 a 54 anos,Masculino
2020-02-17,1,55 a 59 anos,Feminino
2020-02-17,1,70 a 74 anos,Masculino
2020-02-17,1,75 a 79 anos,Masculino
2020-02-18,2,25 a 29 anos,Feminino
2020-02-18,3,30 a 34 anos,Masculino
2020-02-18,2,35 a 39 anos,Masculino
2020-02-18,2,40 a 44 anos,Feminino
2020-02-18,1,45 a 49 anos,Feminino
2020-02-18,2,50 a 54 anos,Masculino
2020-02-18,1,55 a 59 anos,Feminino
2020-02-18,1,70 a 74 anos,Masculino
2020-02-18,1,75 a 79 anos,Masculino
2020-02-19,2,25 a 29 anos,Feminino
2020-02-19,3,30 a 34 anos,Masculino
2020-02-19,2,35 a 39 anos,Masculino
2020-02-19,2,40 a 44 anos,Feminino
2020-02-19,1,45 a 49 anos,Feminino
2020-02-19,2,50 a 54 anos,Masculino
2020-02-19,1,55 a 59 anos,Feminino
2020-02-19,1,70 a 74 anos,Masculino
2020-02-19,1,75 a 79 anos,Masculino
2020-02-20,2,25 a 29 anos,Feminino
2020-02-20,3,30 a 34 anos,Masculino
2020-02-20,1,35 a 39 anos,Feminino
2020-02-20,2,35 a 39 anos,Masculino
2020-02-20,2,40 a 44 anos,Feminino
2020-02-20,1,45 a 49 anos,Feminino
2020-02-20,2,50 a 54 anos,Masculino
2020-02-20,1,55 a 59 anos,Feminino
2020-02-20,1,70 a 74 anos,Masculino
2020-02-20,1,75 a 79 anos,Masculino
2020-02-21,2,25 a 29 anos,Feminino
2020-02-21,1,30 a 34 anos,Feminino
2020-02-21,3,30 a 34 anos,Masculino
2020-02-21,1,35 a 39 anos,Feminino
2020-02-21,2,35 a 39 anos,Masculino
2020-02-21,2,40 a 44 anos,Feminino
2020-02-21,1,45 a 49 anos,Feminino
2020-02-21,2,50 a 54 anos,Masculino
2020-02-21,1,55 a 59 anos,Feminino
2020-02-21,1,70 a 74 anos,Masculino
