Data,quantidade,faixaEtaria,sexo
2020-01-06,1,50 a 54 anos,Masculino
2020-01-07,1,50 a 54 anos,Masculino
2020-01-08,1,50 a 54 anos,Masculino
2020-01-09,1,30 a 34 anos,Masculino
2020-01-09,1,50 a 54 anos,Masculino
2020-01-10,1,30 a 34 anos,Masculino
2020-01-10,1,50 a 54 anos,Masculino
2020-01-11,1,30 a 34 anos,Masculino
2020-01-11,1,50 a 54 anos,Masculino
2020-01-12,1,30 a 34 anos,Masculino
2020-01-12,1,50 a 54 anos,Masculino
2020-01-13,1,30 a 34 anos,Masculino
2020-01-13,1,50 a 54 anos,Masculino
2020-01-14,1,30 a 34 anos,Masculino
2020-01-14,1,50 a 54 anos,Masculino
2020-01-15,1,30 a 34 anos,Masculino
2020-01-15,1,50 a 54 anos,Masculino
2020-01-16,1,30 a 34 anos,Masculino
2020-01-16,1,50 a 54 anos,Masculino
2020-01-17,1,30 a 34 anos,Masculino
2020-01-17,1,50 a 54 anos,Masculino
2020-01-18,1,30 a 34 anos,Masculino
2020-01-18,1,50 a 54 anos,Masculino
2020-01-19,1,30 a 34 anos,Masculino
2020-01-19,1,50 a 54 anos,Masculino
2020-01-20,1,30 a 34 anos,Masculino
2020-01-20,1,50 a 54 anos,Masculino
2020-01-21,1,30 a 34 anos,Masculino
2020-01-21,1,50 a 54 anos,Masculino
2020-01-22,1,30 a 34 anos,Masculino
2020-01-22,1,50 a 54 anos,Masculino
2020-01-23,1,30 a 34 anos,Masculino
2020-01-23,1,50 a 54 anos,Masculino
2020-01-24,1,30 a 34 anos,Masculino
2020-01-24,1,50 a 54 anos,Masculino
2020-01-25,1,30 a 34 anos,Masculino
2020-01-25,1,50 a 54 anos,Masculino
2020-01-26,1,30 a 34 anos,Masculino
2020-01-26,1,50 a 54 anos,Masculino
2020-01-27,1,30 a 34 anos,Masculino
2020-01-27,1,50 a 54 anos,Masculino
2020-01-28,1,30 a 34 anos,Masculino
2020-01-28,1,50 a 54 anos,Masculino
2020-01-29,1,30 a 34 anos,Masculino
2020-01-29,1,50 a 54 anos,Masculino
2020-01-30,1,30 a 34 anos,Masculino
2020-01-30,1,50 a 54 anos,Masculino
2020-01-31,1,30 a 34 anos,Masculino
2020-01-31,1,50 a 54 anos,Masculino
2020-02-01,1,25 a 29 anos,Feminino
2020-02-01,1,30 a 34 anos,Masculino
2020-02-01,1,50 a 54 anos,Masculino
2020-02-02,1,25 a 29 anos,Feminino
2020-02-02,1,30 a 34 anos,Masculino
2020-02-02,1,50 a 54 anos,Masculino
2020-02-03,1,25 a 29 anos,Feminino
2020-02-03,1,30 a 34 anos,Masculino
2020-02-03,1,45 a 49 anos,Feminino
2020-02-03,1,50 a 54 anos,Masculino
2020-02-04,1,25 a 29 anos,Feminino
2020-02-04,1,30 a 34 anos,Masculino
2020-02-04,1,45 a 49 anos,Feminino
2020-02-04,1,50 a 54 anos,Masculino
2020-02-05,1,25 a 29 anos,Feminino
2020-02-05,1,30 a 34 anos,Masculino
2020-02-05,1,45 a 49 anos,Feminino
2020-02-05,1,50 a 54 anos,Masculino
2020-02-06,1,25 a 29 anos,Feminino
2020-02-06,1,30 a 34 anos,Masculino
2020-02-06,1,45 a 49 anos,Feminino
2020-02-06,1,50 a 54 anos,Masculino
2020-02-07,1,25 a 29 anos,Feminino
2020-02-07,1,30 a 34 anos,Masculino
2020-02-07,1,45 a 49 anos,Feminino
2020-02-07,1,50 a 54 anos,Masculino
2020-02-07,1,55 a 59 anos,Feminino
2020-02-08,1,25 a 29 anos,Feminino
2020-02-08,1,30 a 34 anos,Masculino
2020-02-08,1,45 a 49 anos,Feminino
2020-02-08,1,50 a 54 anos,Masculino
2020-02-08,1,55 a 59 anos,Feminino
2020-02-09,1,25 a 29 anos,Feminino
2020-02-09,1,30 a 34 anos,Masculino
2020-02-09,1,45 a 49 anos,Feminino
2020-02-09,1,50 a 54 anos,Masculino
2020-02-09,1,55 a 59 anos,Feminino
2020-02-10,1,25 a 29 anos,Feminino
2020-02-10,1,30 a 34 anos,Masculino
2020-02-10,1,45 a 49 anos,Feminino
2020-02-10,1,50 a 54 anos,Masculino
2020-02-10,1,55 a 59 anos,Feminino
