Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1499,4,0.27,0.08,100,68.75,76.0,2,,11.0,36.0,0,0,0
2020-03-25,1690,6,0.36,0.12,100,68.75,75.5,2,,20.0,11.0,0,0,0
2020-03-26,1866,9,0.48,0.18,88.89,68.75,83.0,2,,20.0,11.0,0,0,0
2020-03-27,2009,12,0.6,0.24,83.33,68.75,83.5,2,6.0,11.0,9.67,0,0,0
2020-03-28,2118,14,0.66,0.27,85.71,68.75,77.5,2,6.0,11.0,9.67,0,0,0
2020-03-29,2217,18,0.81,0.35,83.33,68.75,73.0,2,4.5,9.0,11.83,0,0,0
2020-03-30,2359,22,0.93,0.43,81.82,68.75,75.5,2,4.5,9.42,13.0,0,0,0
2020-03-31,2480,25,1.01,0.49,84,68.75,74.0,2,4.5,12.22,8.6,0,0,0
2020-04-01,2682,27,1.01,0.53,85.19,68.75,75.0,2,4.5,9.31,12.22,0,0,0
2020-04-02,2827,36,1.27,0.71,75,68.75,74.5,2,3.38,13.31,9.13,0,0,0
2020-04-03,2953,45,1.52,0.88,71.11,68.75,75.0,2,4.85,9.42,13.37,0,0,0
2020-04-04,3112,52,1.67,1.02,75,68.75,74.0,2,5.0,12.63,8.84,0,0,0
2020-04-05,3268,60,1.84,1.18,78.33,68.75,74.0,4,5.16,9.3,13.72,0,0,0
2020-04-06,3466,72,2.08,1.41,79.17,68.75,74.0,4,5.65,13.53,9.36,0,0,0
2020-04-07,3677,79,2.15,1.55,81.01,68.75,73.0,4,5.72,9.23,12.92,0,0,0
2020-04-08,3928,87,2.21,1.71,82.76,68.75,73.0,4,5.8100000000000005,9.32,12.92,0,0,0
2020-04-09,4198,99,2.36,1.94,80.81,68.75,74.0,6,5.83,9.15,12.73,0,0,0
2020-04-10,4566,111,2.43,2.18,81.08,68.75,74.0,6,6.89,13.29,9.77,0,0,0
2020-04-11,4897,124,2.53,2.43,80.65,68.75,74.0,7,7.21,10.0,13.29,0,0,0
2020-04-12,5236,138,2.64,2.71,80.43,68.75,74.0,7,7.57,10.11,13.57,0,0,0
2020-04-13,5656,145,2.56,2.84,78.62,68.75,73.0,7,7.45,10.33,13.38,0,0,0
2020-04-14,6060,165,2.72,3.24,80,68.75,73.0,7,7.48,10.82,12.85,0,0,0
2020-04-15,6474,183,2.83,3.59,80.33,68.75,71.0,9,7.27,12.55,10.68,0,0,0
2020-04-16,6862,199,2.9,3.9,80.9,68.75,71.0,11,7.06,10.81,12.59,0,0,0
2020-04-17,7284,222,3.05,4.35,80.63,68.75,72.0,12,6.8,10.99,12.41,0,0,0
2020-04-18,7669,239,3.12,4.69,80.33,68.75,72.0,17,6.9,11.0,12.53,0,0,0
2020-04-19,8065,262,3.25,5.14,79.77,68.75,71.5,25,6.82,12.3,11.01,0,0,0
2020-04-20,8625,293,3.4,5.75,79.86,68.75,72.0,27,6.47,12.38,11.33,0,0,0
2020-04-21,8972,318,3.54,6.24,77.99,68.75,71.5,31,6.6,12.33,11.46,0,0,0
2020-04-22,9353,340,3.64,6.67,77.94,68.75,72.0,36,6.59,11.29,12.11,0,0,0
2020-04-23,9685,361,3.73,7.08,77.84,68.75,72.0,38,6.95,11.37,12.24,0,0,0
2020-04-24,10010,401,4.01,7.86,77.06,68.75,72.0,44,6.89,11.38,11.96,0,0,0
2020-04-25,10262,437,4.26,8.57,75.74,68.75,72.0,47,6.92,11.44,12.03,0,0,0
2020-04-26,10441,487,4.66,9.55,75.15,68.75,72.0,49,6.72,11.33,11.8,0,0,0
2020-04-27,10628,520,4.89,10.2,75.19,68.75,72.0,58,6.73,11.38,11.88,0,0,0
2020-04-28,10719,553,5.16,10.84,75.59,68.75,72.0,66,6.59,11.37,11.73,0,0,0
2020-04-29,10850,596,5.49,11.69,75.34,68.75,72.0,90,6.51,11.34,11.63,0,0,0
2020-04-30,10972,644,5.87,12.63,74.22,68.75,72.0,117,6.57,11.54,11.49,0,0,0
2020-05-01,11076,682,6.16,13.37,73.02,68.75,72.0,137,6.59,11.61,11.49,0,0,0
2020-05-02,11115,702,6.32,13.76,72.36,68.75,72.0,163,6.67,11.74,11.54,0,0,0
2020-05-03,11133,725,6.51,14.22,72.69,68.75,72.0,186,6.67,11.82,11.48,0,0,0
2020-05-04,11142,732,6.57,14.35,72.81,68.75,72.0,196,6.68,11.84,11.48,0,0,0
2020-05-05,11142,732,6.57,14.35,72.81,68.75,72.0,196,6.68,11.48,11.84,0,0,0
