Data,tipo,idMunicipio,qtdConfirmado,municipio,Obitos
2020-02-15,Confirmado,230440,1,FORTALEZA,0
2020-02-16,Confirmado,230440,1,FORTALEZA,0
2020-02-17,Confirmado,230440,2,FORTALEZA,0
2020-02-18,Confirmado,230440,3,FORTALEZA,0
2020-02-19,Confirmado,230440,3,FORTALEZA,0
2020-02-20,Confirmado,230440,3,FORTALEZA,0
2020-02-21,Confirmado,230440,3,FORTALEZA,0
2020-02-22,Confirmado,230440,4,FORTALEZA,0
2020-02-23,Confirmado,230440,4,FORTALEZA,0
2020-02-24,Confirmado,230440,4,FORTALEZA,0
2020-02-25,Confirmado,230440,4,FORTALEZA,0
2020-02-26,Confirmado,230440,4,FORTALEZA,0
2020-02-27,Confirmado,230440,4,FORTALEZA,0
2020-02-27,Confirmado,230690,1,JAGUARIBE,0
2020-02-28,Confirmado,230440,4,FORTALEZA,0
2020-02-28,Confirmado,230690,1,JAGUARIBE,0
2020-02-29,Confirmado,230440,4,FORTALEZA,0
2020-02-29,Confirmado,230690,1,JAGUARIBE,0
2020-03-01,Confirmado,230440,6,FORTALEZA,0
2020-03-01,Confirmado,230690,1,JAGUARIBE,0
2020-03-02,Confirmado,230440,6,FORTALEZA,0
2020-03-02,Confirmado,230690,1,JAGUARIBE,0
2020-03-03,Confirmado,230440,7,FORTALEZA,0
2020-03-03,Confirmado,230690,1,JAGUARIBE,0
2020-03-03,Confirmado,230765,1,MARACANAU,0
2020-03-04,Confirmado,230440,9,FORTALEZA,0
2020-03-04,Confirmado,230690,1,JAGUARIBE,0
2020-03-04,Confirmado,230765,1,MARACANAU,0
2020-03-05,Confirmado,230440,10,FORTALEZA,0
2020-03-05,Confirmado,230690,1,JAGUARIBE,0
2020-03-05,Confirmado,230765,1,MARACANAU,0
2020-03-06,Confirmado,230440,10,FORTALEZA,0
2020-03-06,Confirmado,230690,1,JAGUARIBE,0
2020-03-06,Confirmado,230765,1,MARACANAU,0
2020-03-07,Confirmado,230100,1,AQUIRAZ,0
2020-03-07,Confirmado,230440,11,FORTALEZA,0
2020-03-07,Confirmado,230690,1,JAGUARIBE,0
2020-03-07,Confirmado,230765,1,MARACANAU,0
2020-03-08,Confirmado,230100,1,AQUIRAZ,0
2020-03-08,Confirmado,230440,11,FORTALEZA,0
2020-03-08,Confirmado,230690,2,JAGUARIBE,0
2020-03-08,Confirmado,230765,1,MARACANAU,0
2020-03-09,Confirmado,230100,1,AQUIRAZ,0
2020-03-09,Confirmado,230440,12,FORTALEZA,0
2020-03-09,Confirmado,230690,2,JAGUARIBE,0
2020-03-09,Confirmado,230765,1,MARACANAU,0
2020-03-10,Confirmado,230100,1,AQUIRAZ,0
2020-03-10,Confirmado,230440,13,FORTALEZA,0
2020-03-10,Confirmado,230690,2,JAGUARIBE,0
2020-03-10,Confirmado,230765,1,MARACANAU,0
2020-03-11,Confirmado,230100,1,AQUIRAZ,0
2020-03-11,Confirmado,230440,15,FORTALEZA,0
2020-03-11,Confirmado,230690,2,JAGUARIBE,0
2020-03-11,Confirmado,230765,1,MARACANAU,0
2020-03-12,Confirmado,230100,1,AQUIRAZ,0
2020-03-12,Confirmado,230440,23,FORTALEZA,0
2020-03-12,Confirmado,230690,2,JAGUARIBE,0
2020-03-12,Confirmado,230765,1,MARACANAU,0
2020-03-13,Confirmado,230100,2,AQUIRAZ,0
2020-03-13,Confirmado,230440,33,FORTALEZA,0
2020-03-13,Confirmado,230445,1,FORTIM,0
2020-03-13,Confirmado,230690,2,JAGUARIBE,0
2020-03-13,Confirmado,230730,1,JUAZEIRO DO NORTE,0
2020-03-13,Confirmado,230765,2,MARACANAU,0
2020-03-14,Confirmado,230100,3,AQUIRAZ,0
2020-03-14,Confirmado,230370,1,CAUCAIA,0
2020-03-14,Confirmado,230440,55,FORTALEZA,0
2020-03-14,Confirmado,230445,1,FORTIM,0
2020-03-14,Confirmado,230690,2,JAGUARIBE,0
2020-03-14,Confirmado,230730,1,JUAZEIRO DO NORTE,0
2020-03-14,Confirmado,230765,2,MARACANAU,0
2020-03-15,Confirmado,230100.0,3,AQUIRAZ,0
2020-03-15,Confirmado,230370.0,1,CAUCAIA,0
2020-03-15,Confirmado,230440.0,70,FORTALEZA,0
2020-03-15,Confirmado,230445.0,1,FORTIM,0
2020-03-15,Confirmado,230690.0,2,JAGUARIBE,0
2020-03-15,Confirmado,230730.0,1,JUAZEIRO DO NORTE,0
2020-03-15,Confirmado,230765.0,2,MARACANAU,0
2020-03-15,Confirmado,,1,Sem informação,0
2020-03-16,Confirmado,230100.0,7,AQUIRAZ,0
2020-03-16,Confirmado,230370.0,1,CAUCAIA,0
2020-03-16,Confirmado,230440.0,107,FORTALEZA,0
2020-03-16,Confirmado,230445.0,1,FORTIM,0
2020-03-16,Confirmado,230625.0,1,ITAITINGA,0
2020-03-16,Confirmado,230690.0,2,JAGUARIBE,0
2020-03-16,Confirmado,230730.0,1,JUAZEIRO DO NORTE,0
2020-03-16,Confirmado,230765.0,3,MARACANAU,0
2020-03-16,Confirmado,231130.0,2,QUIXADA,0
2020-03-16,Confirmado,231290.0,1,SOBRAL,0
2020-03-16,Confirmado,,1,Sem informação,0
2020-03-17,Confirmado,230100.0,9,AQUIRAZ,0
2020-03-17,Confirmado,230370.0,1,CAUCAIA,0
2020-03-17,Confirmado,230440.0,157,FORTALEZA,0
2020-03-17,Confirmado,230445.0,1,FORTIM,0
2020-03-17,Confirmado,230625.0,1,ITAITINGA,0
2020-03-17,Confirmado,230690.0,2,JAGUARIBE,0
2020-03-17,Confirmado,230730.0,2,JUAZEIRO DO NORTE,0
2020-03-17,Confirmado,230765.0,4,MARACANAU,0
2020-03-17,Confirmado,231085.0,1,PINDORETAMA,0
2020-03-17,Confirmado,231130.0,2,QUIXADA,0
2020-03-17,Confirmado,231290.0,1,SOBRAL,0
2020-03-17,Confirmado,,1,Sem informação,0
2020-03-18,Confirmado,230100.0,11,AQUIRAZ,0
2020-03-18,Confirmado,230370.0,1,CAUCAIA,0
2020-03-18,Confirmado,230440.0,240,FORTALEZA,0
2020-03-18,Confirmado,230445.0,1,FORTIM,0
2020-03-18,Confirmado,230550.0,1,IGUATU,0
2020-03-18,Confirmado,230625.0,1,ITAITINGA,0
2020-03-18,Confirmado,230690.0,2,JAGUARIBE,0
2020-03-18,Confirmado,230730.0,2,JUAZEIRO DO NORTE,0
2020-03-18,Confirmado,230765.0,4,MARACANAU,0
2020-03-18,Confirmado,230770.0,1,MARANGUAPE,0
2020-03-18,Confirmado,230810.0,1,MAURITI,0
2020-03-18,Confirmado,231085.0,1,PINDORETAMA,0
2020-03-18,Confirmado,231130.0,2,QUIXADA,0
2020-03-18,Confirmado,231270.0,1,SENADOR POMPEU,0
2020-03-18,Confirmado,231290.0,4,SOBRAL,0
2020-03-18,Confirmado,,1,Sem informação,0
2020-03-19,Confirmado,230100.0,17,AQUIRAZ,0
2020-03-19,Confirmado,230220.0,1,BEBERIBE,0
2020-03-19,Confirmado,230370.0,2,CAUCAIA,0
2020-03-19,Confirmado,230440.0,304,FORTALEZA,0
2020-03-19,Confirmado,230445.0,1,FORTIM,0
2020-03-19,Confirmado,230550.0,1,IGUATU,0
2020-03-19,Confirmado,230625.0,1,ITAITINGA,0
2020-03-19,Confirmado,230690.0,2,JAGUARIBE,0
2020-03-19,Confirmado,230730.0,3,JUAZEIRO DO NORTE,0
2020-03-19,Confirmado,230765.0,5,MARACANAU,0
2020-03-19,Confirmado,230770.0,2,MARANGUAPE,0
2020-03-19,Confirmado,230810.0,1,MAURITI,0
2020-03-19,Confirmado,231085.0,1,PINDORETAMA,0
2020-03-19,Confirmado,231130.0,2,QUIXADA,0
2020-03-19,Confirmado,231270.0,1,SENADOR POMPEU,0
2020-03-19,Confirmado,231290.0,5,SOBRAL,0
2020-03-19,Confirmado,,1,Sem informação,0
2020-03-20,Confirmado,230100.0,21,AQUIRAZ,0
2020-03-20,Confirmado,230110.0,1,ARACATI,0
2020-03-20,Confirmado,230220.0,1,BEBERIBE,0
2020-03-20,Confirmado,230280.0,2,CANINDE,0
2020-03-20,Confirmado,230370.0,4,CAUCAIA,0
2020-03-20,Confirmado,230428.0,1,EUSEBIO,0
2020-03-20,Confirmado,230440.0,445,FORTALEZA,0
2020-03-20,Confirmado,230445.0,1,FORTIM,0
2020-03-20,Confirmado,230550.0,1,IGUATU,0
2020-03-20,Confirmado,230625.0,1,ITAITINGA,0
2020-03-20,Confirmado,230630.0,1,ITAPAJE,0
2020-03-20,Confirmado,230690.0,2,JAGUARIBE,0
2020-03-20,Confirmado,230730.0,3,JUAZEIRO DO NORTE,0
2020-03-20,Confirmado,230760.0,1,LIMOEIRO DO NORTE,0
2020-03-20,Confirmado,230765.0,6,MARACANAU,0
2020-03-20,Confirmado,230770.0,4,MARANGUAPE,0
2020-03-20,Confirmado,230810.0,1,MAURITI,0
2020-03-20,Confirmado,230970.0,1,PACATUBA,0
2020-03-20,Confirmado,231085.0,1,PINDORETAMA,0
2020-03-20,Confirmado,231130.0,2,QUIXADA,0
2020-03-20,Confirmado,231270.0,1,SENADOR POMPEU,0
2020-03-20,Confirmado,231290.0,8,SOBRAL,0
2020-03-20,Confirmado,231310.0,1,TABULEIRO DO NORTE,0
2020-03-20,Confirmado,,2,Sem informação,0
2020-03-21,Confirmado,230100.0,25,AQUIRAZ,0
2020-03-21,Confirmado,230110.0,1,ARACATI,0
2020-03-21,Confirmado,230220.0,1,BEBERIBE,0
2020-03-21,Confirmado,230280.0,2,CANINDE,0
2020-03-21,Confirmado,230370.0,4,CAUCAIA,0
2020-03-21,Confirmado,230428.0,2,EUSEBIO,0
2020-03-21,Confirmado,230440.0,570,FORTALEZA,0
2020-03-21,Confirmado,230445.0,1,FORTIM,0
2020-03-21,Confirmado,230523.0,4,HORIZONTE,0
2020-03-21,Confirmado,230550.0,2,IGUATU,0
