Data,tipo,quantidade,idMunicipio,municipio,Obitos
2020-01-01,Confirmado,1,230370.0,CAUCAIA,0
2020-01-01,Confirmado,1,230428.0,EUSEBIO,0
2020-01-01,Confirmado,99,230440.0,FORTALEZA,0
2020-01-01,Confirmado,27,,SEM INFORMAÇÃO,0
2020-01-02,Confirmado,1,230370.0,CAUCAIA,0
2020-01-02,Confirmado,1,230428.0,EUSEBIO,0
2020-01-02,Confirmado,99,230440.0,FORTALEZA,0
2020-01-02,Confirmado,27,,SEM INFORMAÇÃO,0
2020-01-03,Confirmado,1,230370.0,CAUCAIA,0
2020-01-03,Confirmado,1,230428.0,EUSEBIO,0
2020-01-03,Confirmado,99,230440.0,FORTALEZA,0
2020-01-03,Confirmado,27,,SEM INFORMAÇÃO,0
2020-01-04,Confirmado,1,230370.0,CAUCAIA,0
2020-01-04,Confirmado,1,230428.0,EUSEBIO,0
2020-01-04,Confirmado,99,230440.0,FORTALEZA,0
2020-01-04,Confirmado,27,,SEM INFORMAÇÃO,0
2020-01-05,Confirmado,1,230370.0,CAUCAIA,0
2020-01-05,Confirmado,1,230428.0,EUSEBIO,0
2020-01-05,Confirmado,100,230440.0,FORTALEZA,0
2020-01-05,Confirmado,27,,SEM INFORMAÇÃO,0
2020-01-06,Confirmado,1,230370.0,CAUCAIA,0
2020-01-06,Confirmado,1,230428.0,EUSEBIO,0
2020-01-06,Confirmado,100,230440.0,FORTALEZA,0
2020-01-06,Confirmado,27,,SEM INFORMAÇÃO,0
2020-01-07,Confirmado,1,230370.0,CAUCAIA,0
2020-01-07,Confirmado,1,230428.0,EUSEBIO,0
2020-01-07,Confirmado,100,230440.0,FORTALEZA,0
2020-01-07,Confirmado,27,,SEM INFORMAÇÃO,0
2020-01-08,Confirmado,1,230370.0,CAUCAIA,0
2020-01-08,Confirmado,1,230428.0,EUSEBIO,0
2020-01-08,Confirmado,100,230440.0,FORTALEZA,0
2020-01-08,Confirmado,27,,SEM INFORMAÇÃO,0
2020-01-09,Confirmado,1,230370.0,CAUCAIA,0
2020-01-09,Confirmado,1,230428.0,EUSEBIO,0
2020-01-09,Confirmado,101,230440.0,FORTALEZA,0
2020-01-09,Confirmado,27,,SEM INFORMAÇÃO,0
