Data,tipo,idMunicipio,qtdConfirmado,municipio,Obitos
2020-02-15,Confirmado,230440,1,FORTALEZA,0
2020-02-15,Confirmado,230770,1,MARANGUAPE,0
2020-02-16,Confirmado,230440,1,FORTALEZA,0
2020-02-16,Confirmado,230770,1,MARANGUAPE,0
2020-02-17,Confirmado,230440,2,FORTALEZA,0
2020-02-17,Confirmado,230770,1,MARANGUAPE,0
2020-02-18,Confirmado,230440,3,FORTALEZA,0
2020-02-18,Confirmado,230770,1,MARANGUAPE,0
2020-02-19,Confirmado,230440,3,FORTALEZA,0
2020-02-19,Confirmado,230770,1,MARANGUAPE,0
2020-02-20,Confirmado,230440,3,FORTALEZA,0
2020-02-20,Confirmado,230770,1,MARANGUAPE,0
2020-02-21,Confirmado,230440,3,FORTALEZA,0
2020-02-21,Confirmado,230770,1,MARANGUAPE,0
2020-02-22,Confirmado,230440,4,FORTALEZA,0
2020-02-22,Confirmado,230770,1,MARANGUAPE,0
2020-02-23,Confirmado,230440,4,FORTALEZA,0
2020-02-23,Confirmado,230770,1,MARANGUAPE,0
2020-02-24,Confirmado,230440,4,FORTALEZA,0
2020-02-24,Confirmado,230770,1,MARANGUAPE,0
2020-02-25,Confirmado,230440,4,FORTALEZA,0
2020-02-25,Confirmado,230770,1,MARANGUAPE,0
2020-02-26,Confirmado,230440,4,FORTALEZA,0
2020-02-26,Confirmado,230770,1,MARANGUAPE,0
2020-02-27,Confirmado,230440,4,FORTALEZA,0
2020-02-27,Confirmado,230690,1,JAGUARIBE,0
2020-02-27,Confirmado,230770,1,MARANGUAPE,0
2020-02-28,Confirmado,230440,4,FORTALEZA,0
2020-02-28,Confirmado,230690,1,JAGUARIBE,0
2020-02-28,Confirmado,230770,1,MARANGUAPE,0
2020-02-29,Confirmado,230440,4,FORTALEZA,0
2020-02-29,Confirmado,230690,1,JAGUARIBE,0
2020-02-29,Confirmado,230770,1,MARANGUAPE,0
2020-03-01,Confirmado,230440,6,FORTALEZA,0
2020-03-01,Confirmado,230690,1,JAGUARIBE,0
2020-03-01,Confirmado,230770,1,MARANGUAPE,0
2020-03-02,Confirmado,230440,6,FORTALEZA,0
2020-03-02,Confirmado,230690,1,JAGUARIBE,0
2020-03-02,Confirmado,230770,1,MARANGUAPE,0
2020-03-03,Confirmado,230440,7,FORTALEZA,0
2020-03-03,Confirmado,230690,1,JAGUARIBE,0
2020-03-03,Confirmado,230765,1,MARACANAU,0
2020-03-03,Confirmado,230770,1,MARANGUAPE,0
2020-03-04,Confirmado,230440,9,FORTALEZA,0
2020-03-04,Confirmado,230690,1,JAGUARIBE,0
2020-03-04,Confirmado,230765,1,MARACANAU,0
2020-03-04,Confirmado,230770,1,MARANGUAPE,0
2020-03-05,Confirmado,230440,10,FORTALEZA,0
2020-03-05,Confirmado,230690,1,JAGUARIBE,0
2020-03-05,Confirmado,230765,1,MARACANAU,0
2020-03-05,Confirmado,230770,1,MARANGUAPE,0
2020-03-06,Confirmado,230440,10,FORTALEZA,0
2020-03-06,Confirmado,230690,1,JAGUARIBE,0
2020-03-06,Confirmado,230765,1,MARACANAU,0
2020-03-06,Confirmado,230770,1,MARANGUAPE,0
2020-03-07,Confirmado,230100,1,AQUIRAZ,0
2020-03-07,Confirmado,230440,11,FORTALEZA,0
2020-03-07,Confirmado,230690,1,JAGUARIBE,0
2020-03-07,Confirmado,230765,1,MARACANAU,0
2020-03-07,Confirmado,230770,1,MARANGUAPE,0
2020-03-08,Confirmado,230100,1,AQUIRAZ,0
2020-03-08,Confirmado,230440,11,FORTALEZA,0
2020-03-08,Confirmado,230690,2,JAGUARIBE,0
2020-03-08,Confirmado,230765,1,MARACANAU,0
2020-03-08,Confirmado,230770,1,MARANGUAPE,0
2020-03-09,Confirmado,230100,1,AQUIRAZ,0
2020-03-09,Confirmado,230440,12,FORTALEZA,0
2020-03-09,Confirmado,230690,2,JAGUARIBE,0
2020-03-09,Confirmado,230765,1,MARACANAU,0
2020-03-09,Confirmado,230770,1,MARANGUAPE,0
2020-03-10,Confirmado,230100,1,AQUIRAZ,0
2020-03-10,Confirmado,230440,13,FORTALEZA,0
2020-03-10,Confirmado,230690,2,JAGUARIBE,0
2020-03-10,Confirmado,230765,1,MARACANAU,0
2020-03-10,Confirmado,230770,1,MARANGUAPE,0
2020-03-11,Confirmado,230100,1,AQUIRAZ,0
2020-03-11,Confirmado,230440,15,FORTALEZA,0
2020-03-11,Confirmado,230690,2,JAGUARIBE,0
2020-03-11,Confirmado,230765,1,MARACANAU,0
2020-03-11,Confirmado,230770,1,MARANGUAPE,0
2020-03-12,Confirmado,230100,1,AQUIRAZ,0
2020-03-12,Confirmado,230440,23,FORTALEZA,0
2020-03-12,Confirmado,230690,2,JAGUARIBE,0
2020-03-12,Confirmado,230765,1,MARACANAU,0
2020-03-12,Confirmado,230770,1,MARANGUAPE,0
2020-03-13,Confirmado,230100,2,AQUIRAZ,0
2020-03-13,Confirmado,230440,33,FORTALEZA,0
2020-03-13,Confirmado,230445,1,FORTIM,0
