Data,tipo,quantidade,idMunicipio,municipio,Obitos
2020-01-01,Confirmado,1,230370.0,CAUCAIA,0
2020-01-01,Confirmado,1,230428.0,EUSEBIO,0
2020-01-01,Confirmado,94,230440.0,FORTALEZA,0
2020-01-01,Confirmado,1,230765.0,MARACANAU,0
2020-01-01,Confirmado,1,231130.0,QUIXADA,0
2020-01-01,Confirmado,29,,SEM INFORMAÇÃO,0
2020-01-02,Confirmado,1,230370.0,CAUCAIA,0
2020-01-02,Confirmado,1,230428.0,EUSEBIO,0
2020-01-02,Confirmado,95,230440.0,FORTALEZA,0
2020-01-02,Confirmado,2,230765.0,MARACANAU,0
2020-01-02,Confirmado,1,231130.0,QUIXADA,0
2020-01-02,Confirmado,29,,SEM INFORMAÇÃO,0
2020-01-03,Confirmado,1,230370.0,CAUCAIA,0
2020-01-03,Confirmado,1,230428.0,EUSEBIO,0
2020-01-03,Confirmado,95,230440.0,FORTALEZA,0
2020-01-03,Confirmado,2,230765.0,MARACANAU,0
2020-01-03,Confirmado,1,231130.0,QUIXADA,0
2020-01-03,Confirmado,29,,SEM INFORMAÇÃO,0
2020-01-04,Confirmado,1,230370.0,CAUCAIA,0
2020-01-04,Confirmado,1,230428.0,EUSEBIO,0
2020-01-04,Confirmado,95,230440.0,FORTALEZA,0
2020-01-04,Confirmado,2,230765.0,MARACANAU,0
2020-01-04,Confirmado,1,231130.0,QUIXADA,0
2020-01-04,Confirmado,29,,SEM INFORMAÇÃO,0
2020-01-05,Confirmado,1,230370.0,CAUCAIA,0
2020-01-05,Confirmado,1,230428.0,EUSEBIO,0
2020-01-05,Confirmado,96,230440.0,FORTALEZA,0
2020-01-05,Confirmado,2,230765.0,MARACANAU,0
2020-01-05,Confirmado,1,231130.0,QUIXADA,0
2020-01-05,Confirmado,29,,SEM INFORMAÇÃO,0
2020-01-06,Confirmado,1,230370.0,CAUCAIA,0
2020-01-06,Confirmado,1,230428.0,EUSEBIO,0
2020-01-06,Confirmado,96,230440.0,FORTALEZA,0
2020-01-06,Confirmado,2,230765.0,MARACANAU,0
2020-01-06,Confirmado,2,231130.0,QUIXADA,0
2020-01-06,Confirmado,29,,SEM INFORMAÇÃO,0
