Data,idMunicipio,municipio,qtdConfirmado,tipo,Obitos
2020-03-02,230765,MARACANAU,2,Confirmado,0
2020-03-03,230765,MARACANAU,2,Confirmado,0
2020-03-04,230765,MARACANAU,2,Confirmado,0
2020-03-05,230765,MARACANAU,2,Confirmado,0
2020-03-06,230765,MARACANAU,2,Confirmado,0
2020-03-07,230765,MARACANAU,2,Confirmado,0
2020-03-08,230765,MARACANAU,2,Confirmado,0
2020-03-09,230765,MARACANAU,2,Confirmado,0
2020-03-10,230765,MARACANAU,2,Confirmado,0
2020-03-11,230765,MARACANAU,2,Confirmado,0
2020-03-12,230765,MARACANAU,2,Confirmado,0
2020-03-13,230765,MARACANAU,2,Confirmado,0
2020-03-14,230440,FORTALEZA,1,Confirmado,0
2020-03-14,230765,MARACANAU,2,Confirmado,0
2020-03-15,230440,FORTALEZA,1,Confirmado,0
2020-03-15,230765,MARACANAU,2,Confirmado,0
2020-03-16,230100,AQUIRAZ,1,Confirmado,0
2020-03-16,230440,FORTALEZA,4,Confirmado,0
2020-03-16,230765,MARACANAU,2,Confirmado,0
2020-03-17,230100,AQUIRAZ,1,Confirmado,0
2020-03-17,230440,FORTALEZA,21,Confirmado,0
2020-03-17,230765,MARACANAU,2,Confirmado,0
2020-03-17,231290,SOBRAL,1,Confirmado,0
2020-03-18,230100,AQUIRAZ,1,Confirmado,0
2020-03-18,230440,FORTALEZA,25,Confirmado,0
2020-03-18,230765,MARACANAU,2,Confirmado,0
2020-03-18,231290,SOBRAL,1,Confirmado,0
2020-03-19,230100,AQUIRAZ,1,Confirmado,0
2020-03-19,230440,FORTALEZA,51,Confirmado,0
2020-03-19,230730,JUAZEIRO DO NORTE,1,Confirmado,0
2020-03-19,230765,MARACANAU,2,Confirmado,0
2020-03-19,231290,SOBRAL,1,Confirmado,0
2020-03-20,230100,AQUIRAZ,1,Confirmado,0
2020-03-20,230440,FORTALEZA,72,Confirmado,0
2020-03-20,230445,FORTIM,1,Confirmado,0
2020-03-20,230730,JUAZEIRO DO NORTE,1,Confirmado,0
2020-03-20,230765,MARACANAU,2,Confirmado,0
2020-03-20,231290,SOBRAL,1,Confirmado,0
2020-03-21,230100,AQUIRAZ,6,Confirmado,0
2020-03-21,230440,FORTALEZA,100,Confirmado,0
2020-03-21,230445,FORTIM,1,Confirmado,0
